[39.0, 'State-gov', 77516.0, 'Bachelors', 13.0, 'Never-married', 'Adm-clerical', 'Not-in-family', 'White', 'Male', 2174.0, 0.0, 40.0, 'United-States', '<=50K']
[19.0, 'Private', 101509.0, 'Some-college', 10.0, 'Never-married', 'Prof-specialty', 'Own-child', 'White', 'Male', 0.0, 0.0, 32.0, 'United-States', '<=50K']
[29.0, 'Self-emp-not-inc', 162298.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 70.0, 'United-States', '>50K']
[23.0, 'Private', 211678.0, 'Some-college', 10.0, 'Never-married', 'Machine-op-inspct', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[44.0, 'Private', 343591.0, 'HS-grad', 9.0, 'Divorced', 'Craft-repair', 'Not-in-family', 'White', 'Female', 14344.0, 0.0, 40.0, 'United-States', '>50K']
[53.0, 'Private', 346253.0, 'HS-grad', 9.0, 'Divorced', 'Sales', 'Own-child', 'White', 'Female', 0.0, 0.0, 35.0, 'United-States', '<=50K']
[49.0, 'Local-gov', 268234.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Protective-serv', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[33.0, 'Private', 202051.0, 'Masters', 14.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '<=50K']
[43.0, 'Federal-gov', 410867.0, 'Doctorate', 16.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 50.0, 'United-States', '>50K']
[57.0, 'Private', 249977.0, 'Assoc-voc', 11.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[34.0, 'Local-gov', 226296.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Protective-serv', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[29.0, 'Local-gov', 115585.0, 'Some-college', 10.0, 'Never-married', 'Handlers-cleaners', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '<=50K']
[48.0, 'Self-emp-not-inc', 191277.0, 'Doctorate', 16.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 1902.0, 60.0, 'United-States', '>50K']
[37.0, 'Private', 202683.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 48.0, 'United-States', '>50K']
[48.0, 'Private', 171095.0, 'Assoc-acdm', 12.0, 'Divorced', 'Exec-managerial', 'Unmarried', 'White', 'Female', 0.0, 0.0, 40.0, 'England', '<=50K']
[32.0, 'Federal-gov', 249409.0, 'HS-grad', 9.0, 'Never-married', 'Other-service', 'Own-child', 'Black', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[76.0, 'Private', 124191.0, 'Masters', 14.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[44.0, 'Private', 198282.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 15024.0, 0.0, 60.0, 'United-States', '>50K']
[47.0, 'Self-emp-not-inc', 149116.0, 'Masters', 14.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 50.0, 'United-States', '<=50K']
[20.0, 'Private', 188300.0, 'Some-college', 10.0, 'Never-married', 'Tech-support', 'Own-child', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[32.0, 'Self-emp-inc', 317660.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 7688.0, 0.0, 40.0, 'United-States', '>50K']
[17.0, '?', 304873.0, '10th', 6.0, 'Never-married', '?', 'Own-child', 'White', 'Female', 34095.0, 0.0, 32.0, 'United-States', '<=50K']
[38.0, 'Private', 65324.0, 'Prof-school', 15.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[56.0, 'Self-emp-not-inc', 335605.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Other-service', 'Husband', 'White', 'Male', 0.0, 1887.0, 50.0, 'Canada', '>50K']
[28.0, 'Private', 377869.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Sales', 'Wife', 'White', 'Female', 4064.0, 0.0, 25.0, 'United-States', '<=50K']
[36.0, 'Private', 102864.0, 'HS-grad', 9.0, 'Never-married', 'Machine-op-inspct', 'Own-child', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[49.0, 'Local-gov', 197371.0, 'Assoc-voc', 11.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'Black', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[55.0, 'Private', 247552.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 56.0, 'United-States', '<=50K']
[29.0, 'State-gov', 267989.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[19.0, 'Private', 301606.0, 'Some-college', 10.0, 'Never-married', 'Other-service', 'Own-child', 'Black', 'Male', 0.0, 0.0, 35.0, 'United-States', '<=50K']
[47.0, 'Private', 287828.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Exec-managerial', 'Wife', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '>50K']
[20.0, 'Private', 111697.0, 'Some-college', 10.0, 'Never-married', 'Adm-clerical', 'Own-child', 'White', 'Female', 0.0, 1719.0, 28.0, 'United-States', '<=50K']
[31.0, 'Private', 114937.0, 'Assoc-acdm', 12.0, 'Married-civ-spouse', 'Adm-clerical', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[35.0, '?', 129305.0, 'HS-grad', 9.0, 'Married-civ-spouse', '?', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[38.0, 'Federal-gov', 125933.0, 'Masters', 14.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'Iran', '>50K']
[43.0, 'Self-emp-not-inc', 56920.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '<=50K']
[49.0, 'Private', 81973.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'Asian-Pac-Islander', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[61.0, 'Self-emp-inc', 66614.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[45.0, 'Private', 196584.0, 'Assoc-voc', 11.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 0.0, 1564.0, 40.0, 'United-States', '>50K']
[70.0, 'Private', 105376.0, 'Some-college', 10.0, 'Never-married', 'Tech-support', 'Other-relative', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[52.0, '?', 252903.0, 'HS-grad', 9.0, 'Divorced', '?', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '>50K']
[48.0, 'Private', 187715.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 46.0, 'United-States', '<=50K']
[45.0, 'Self-emp-not-inc', 201080.0, 'Masters', 14.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[36.0, 'Private', 207157.0, 'Some-college', 10.0, 'Divorced', 'Other-service', 'Unmarried', 'White', 'Female', 0.0, 0.0, 40.0, 'Mexico', '<=50K']
[51.0, 'Private', 96062.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 1977.0, 40.0, 'United-States', '>50K']
[27.0, 'Private', 428030.0, 'Bachelors', 13.0, 'Never-married', 'Craft-repair', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '<=50K']
[28.0, 'State-gov', 149624.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[27.0, 'Private', 253814.0, 'HS-grad', 9.0, 'Married-spouse-absent', 'Sales', 'Unmarried', 'White', 'Female', 0.0, 0.0, 25.0, 'United-States', '<=50K']
[44.0, 'Local-gov', 181344.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'Black', 'Male', 0.0, 0.0, 38.0, 'United-States', '>50K']
[43.0, 'Private', 114580.0, 'Some-college', 10.0, 'Divorced', 'Adm-clerical', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[40.0, 'Private', 286370.0, '7th-8th', 4.0, 'Married-civ-spouse', 'Machine-op-inspct', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'Mexico', '>50K']
[37.0, 'Federal-gov', 29054.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Adm-clerical', 'Husband', 'White', 'Male', 0.0, 0.0, 42.0, 'United-States', '>50K']
[34.0, 'Private', 304030.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Adm-clerical', 'Husband', 'Black', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[41.0, 'Self-emp-not-inc', 143129.0, 'Bachelors', 13.0, 'Divorced', 'Exec-managerial', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[58.0, 'State-gov', 109567.0, 'Doctorate', 16.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 1.0, 'United-States', '>50K']
[38.0, 'Private', 155222.0, 'Some-college', 10.0, 'Divorced', 'Machine-op-inspct', 'Not-in-family', 'Black', 'Female', 0.0, 0.0, 28.0, 'United-States', '<=50K']
[40.0, 'Federal-gov', 56795.0, 'Masters', 14.0, 'Never-married', 'Exec-managerial', 'Not-in-family', 'White', 'Female', 14084.0, 0.0, 55.0, 'United-States', '>50K']
[35.0, 'Private', 138992.0, 'Masters', 14.0, 'Married-civ-spouse', 'Prof-specialty', 'Other-relative', 'White', 'Male', 7298.0, 0.0, 40.0, 'United-States', '>50K']
[24.0, 'Self-emp-not-inc', 32921.0, 'HS-grad', 9.0, 'Never-married', 'Sales', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[26.0, 'Private', 397317.0, 'Masters', 14.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 0.0, 1876.0, 40.0, 'United-States', '<=50K']
[51.0, 'Private', 259323.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[42.0, 'Local-gov', 254817.0, 'Some-college', 10.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 0.0, 1340.0, 40.0, 'United-States', '<=50K']
[36.0, 'Private', 128757.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Other-service', 'Husband', 'Black', 'Male', 7298.0, 0.0, 36.0, 'United-States', '>50K']
[35.0, 'Private', 36270.0, 'HS-grad', 9.0, 'Divorced', 'Craft-repair', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '<=50K']
[58.0, 'Self-emp-inc', 210563.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Sales', 'Wife', 'White', 'Female', 15024.0, 0.0, 35.0, 'United-States', '>50K']
[17.0, 'Private', 65368.0, '11th', 7.0, 'Never-married', 'Sales', 'Own-child', 'White', 'Female', 0.0, 0.0, 12.0, 'United-States', '<=50K']
[37.0, 'Private', 208358.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[35.0, 'Private', 153790.0, 'Some-college', 10.0, 'Never-married', 'Sales', 'Not-in-family', 'Amer-Indian-Eskimo', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[54.0, 'Self-emp-inc', 125417.0, '7th-8th', 4.0, 'Married-civ-spouse', 'Machine-op-inspct', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[37.0, 'Private', 635913.0, 'Bachelors', 13.0, 'Never-married', 'Exec-managerial', 'Not-in-family', 'Black', 'Male', 0.0, 0.0, 60.0, 'United-States', '>50K']
[50.0, 'Private', 313321.0, 'Assoc-acdm', 12.0, 'Divorced', 'Sales', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[38.0, 'Private', 182609.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'Poland', '<=50K']
[28.0, 'Private', 76714.0, 'Prof-school', 15.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 55.0, 'United-States', '>50K']
[59.0, 'State-gov', 268700.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Other-service', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[41.0, 'Private', 180138.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'Iran', '>50K']
[38.0, 'Local-gov', 115076.0, 'Masters', 14.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 70.0, 'United-States', '>50K']
[23.0, 'Private', 115458.0, 'HS-grad', 9.0, 'Never-married', 'Transport-moving', 'Own-child', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[40.0, 'Private', 347890.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[41.0, 'Self-emp-not-inc', 196001.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Other-service', 'Wife', 'White', 'Female', 0.0, 0.0, 20.0, 'United-States', '<=50K']
[24.0, 'State-gov', 273905.0, 'Assoc-acdm', 12.0, 'Married-civ-spouse', 'Protective-serv', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '<=50K']
[58.0, 'Private', 236596.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Adm-clerical', 'Husband', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '>50K']
[32.0, 'Private', 183916.0, 'HS-grad', 9.0, 'Never-married', 'Other-service', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 34.0, 'United-States', '<=50K']
[40.0, 'Private', 207578.0, 'Assoc-acdm', 12.0, 'Married-civ-spouse', 'Tech-support', 'Husband', 'White', 'Male', 0.0, 1977.0, 60.0, 'United-States', '>50K']
[45.0, 'Private', 153141.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Adm-clerical', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, '?', '<=50K']
[41.0, 'Private', 112763.0, 'Prof-school', 15.0, 'Married-civ-spouse', 'Prof-specialty', 'Wife', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '>50K']
[42.0, 'Private', 390781.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Adm-clerical', 'Wife', 'Black', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[42.0, 'Self-emp-not-inc', 303044.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Farming-fishing', 'Husband', 'Asian-Pac-Islander', 'Male', 0.0, 0.0, 40.0, 'Cambodia', '>50K']
[20.0, 'Private', 117789.0, 'HS-grad', 9.0, 'Never-married', 'Other-service', 'Own-child', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[37.0, 'Self-emp-inc', 257295.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'Asian-Pac-Islander', 'Male', 0.0, 0.0, 75.0, 'Thailand', '>50K']
[19.0, '?', 218956.0, 'Some-college', 10.0, 'Never-married', '?', 'Own-child', 'White', 'Male', 0.0, 0.0, 24.0, 'Canada', '<=50K']
[64.0, 'Private', 21174.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[33.0, 'Private', 185480.0, 'Bachelors', 13.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 45.0, 'United-States', '<=50K']
[33.0, 'Private', 222205.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Wife', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '>50K']
[61.0, 'Private', 69867.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[17.0, 'Private', 191260.0, '9th', 5.0, 'Never-married', 'Other-service', 'Own-child', 'White', 'Male', 1055.0, 0.0, 24.0, 'United-States', '<=50K']
[50.0, 'Self-emp-not-inc', 30653.0, 'Masters', 14.0, 'Married-civ-spouse', 'Farming-fishing', 'Husband', 'White', 'Male', 2407.0, 0.0, 98.0, 'United-States', '<=50K']
[44.0, 'Private', 170924.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 7298.0, 0.0, 40.0, 'United-States', '>50K']
[35.0, 'Private', 190174.0, 'Some-college', 10.0, 'Never-married', 'Exec-managerial', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[24.0, 'Private', 279472.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Machine-op-inspct', 'Wife', 'White', 'Female', 7298.0, 0.0, 48.0, 'United-States', '>50K']
[22.0, 'Private', 34918.0, 'Bachelors', 13.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 15.0, 'Germany', '<=50K']
[42.0, 'Local-gov', 97688.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 5178.0, 0.0, 40.0, 'United-States', '>50K']
[34.0, 'Private', 175413.0, 'Assoc-acdm', 12.0, 'Divorced', 'Sales', 'Unmarried', 'Black', 'Female', 0.0, 0.0, 45.0, 'United-States', '<=50K']
[57.0, 'Federal-gov', 425161.0, 'Masters', 14.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 15024.0, 0.0, 40.0, 'United-States', '>50K']
[41.0, 'Private', 220531.0, 'Prof-school', 15.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '>50K']
[50.0, 'Private', 176609.0, 'Some-college', 10.0, 'Divorced', 'Other-service', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '<=50K']
[25.0, 'Private', 371987.0, 'Bachelors', 13.0, 'Never-married', 'Exec-managerial', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[48.0, 'Private', 146268.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Adm-clerical', 'Husband', 'White', 'Male', 7688.0, 0.0, 40.0, 'United-States', '>50K']
[21.0, 'Private', 153718.0, 'Some-college', 10.0, 'Never-married', 'Other-service', 'Not-in-family', 'Asian-Pac-Islander', 'Female', 0.0, 0.0, 25.0, 'United-States', '<=50K']
[31.0, 'Private', 217460.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Transport-moving', 'Husband', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '>50K']
[55.0, 'Private', 238638.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 4386.0, 0.0, 40.0, 'United-States', '>50K']
[24.0, 'Private', 303296.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Adm-clerical', 'Wife', 'Asian-Pac-Islander', 'Female', 0.0, 0.0, 40.0, 'Laos', '<=50K']
[43.0, 'Private', 173321.0, 'HS-grad', 9.0, 'Divorced', 'Adm-clerical', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[35.0, 'Private', 193815.0, 'Assoc-acdm', 12.0, 'Married-civ-spouse', 'Adm-clerical', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[41.0, 'Self-emp-inc', 34987.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Farming-fishing', 'Husband', 'White', 'Male', 0.0, 0.0, 54.0, 'United-States', '>50K']
[26.0, 'Private', 59306.0, 'Bachelors', 13.0, 'Never-married', 'Sales', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[34.0, 'Private', 142897.0, 'Masters', 14.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'Asian-Pac-Islander', 'Male', 7298.0, 0.0, 35.0, 'Taiwan', '>50K']
[19.0, '?', 860348.0, 'Some-college', 10.0, 'Never-married', '?', 'Own-child', 'Black', 'Female', 0.0, 0.0, 25.0, 'United-States', '<=50K']
[36.0, 'Self-emp-not-inc', 205607.0, 'Bachelors', 13.0, 'Divorced', 'Prof-specialty', 'Not-in-family', 'Black', 'Female', 0.0, 0.0, 40.0, 'United-States', '>50K']
[22.0, 'Private', 199698.0, 'Some-college', 10.0, 'Never-married', 'Sales', 'Own-child', 'White', 'Male', 0.0, 0.0, 15.0, 'United-States', '<=50K']
